年（必須）,大分類（必須）,小分類,出来事タイトル(15文字以内の短い要約),詳細説明,引用文,出典,URL
1958,サービス,(米国)ポケベル,米国で初ポケベル開始,米国で初のポケベル「ベルボーイ」が開始。当時は交換手に呼出番号を伝えるもの,,無線呼び出し,https://ja.wikipedia.org/wiki/%E7%84%A1%E7%B7%9A%E5%91%BC%E3%81%B3%E5%87%BA%E3%81%97
1995,サービス,(米国)ポケベル,米国で双方向ポケベル開始,双方向ポケベル(簡易双方向通信サービス)開始。日本では実用化されなかった。,,ポケベルの歴史,https://www.kogures.com/hitoshi/history/keitai-pocket-bell/index.html
1968,サービス,(国内)ポケベル,電電公社が商用サービス開始,電電公社(現NTTドコモ)、東京23区でポケベル商用開始,,ポケベルの歴史,https://www.kogures.com/hitoshi/history/keitai-pocket-bell/index.html
1986,サービス,(国内)ポケベル,新規事業者（IDO・DDI）参入,IDO(日本移動通信)、DDI(第二電電・現KDDI)参入始まる,,ポケベルの歴史,https://www.kogures.com/hitoshi/history/keitai-pocket-bell/index.html
1987,サービス,(国内)ポケベル,販売ルートが身近な店舗に拡大,エリア拡大、販売ルートがスーパー、コンビニ、駅まで拡大,,ポケベルの歴史,https://www.kogures.com/hitoshi/history/keitai-pocket-bell/index.html
1999,サービス,(国内)ポケベル,端末・基本料の無料化施策,ポケベル端末・基本料無料,,ポケベルの歴史,https://www.kogures.com/hitoshi/history/keitai-pocket-bell/index.html
2007,サービス,(国内)ポケベル,NTTドコモがポケベル終了,大手事業者であるNTTドコモサービス終了,,ポケベルの歴史,https://www.kogures.com/hitoshi/history/keitai-pocket-bell/index.html
2007,サービス,(国内)ポケベル,防災・医療等で限定運用継続,防災分野や無線LAN環境での特殊用途に限り運用,,ポケベルの歴史,https://www.kogures.com/hitoshi/history/keitai-pocket-bell/index.html
1978,サービス,(国内)自動車電話,自動車電話サービス開始,自動車電話サービス開始。料金が非常に高額でポケットベルが唯一の個人向けの移動体通信,,ポケベルの歴史,https://www.kogures.com/hitoshi/history/keitai-pocket-bell/index.html
1995,サービス,(国内)PHS,国内PHSサービス事業開始,PHS事業開始,,ポケベルの歴史,https://www.kogures.com/hitoshi/history/keitai-pocket-bell/index.html
2008,サービス,(国内)PHS,PHSサービスが終了へ,PHSサービス終了,,ポケベルの歴史,https://www.kogures.com/hitoshi/history/keitai-pocket-bell/index.html
1997,サービス,(国内)携帯電話,携帯のショートメール開始,携帯電話のショートメール開始,,ポケベルの歴史,https://www.kogures.com/hitoshi/history/keitai-pocket-bell/index.html
1999,サービス,(国内)携帯電話,NTTドコモ「i-mode」開始,i-mode開始,,ポケベルの歴史,https://www.kogures.com/hitoshi/history/keitai-pocket-bell/index.html
1978,回線速度,,回線のデジタル化（280MHz）,一般電話、携帯電話に先立ってデジタル化 280MHz,,ポケベルの歴史,https://www.kogures.com/hitoshi/history/keitai-pocket-bell/index.html
1987,回線速度,,402MHz帯の導入,402MHz,,ポケベルの歴史,https://www.kogures.com/hitoshi/history/keitai-pocket-bell/index.html
1989,回線速度,,1200MHz帯への拡張,1200MHz,,ポケベルの歴史,https://www.kogures.com/hitoshi/history/keitai-pocket-bell/index.html
1968,機能,ポケベル,トーン呼び出し機能,トーン呼出,,ポケベルの歴史,https://www.kogures.com/hitoshi/history/keitai-pocket-bell/index.html
1987,機能,ポケベル,数字表示機能の導入,数字,,ポケベルの歴史,https://www.kogures.com/hitoshi/history/keitai-pocket-bell/index.html
1991,機能,ポケベル,自由文字（カナ）表示機能,自由文字,,ポケベルの歴史,https://www.kogures.com/hitoshi/history/keitai-pocket-bell/index.html
1996,機能,ポケベル,漢字表示機能の対応,漢字表示,,ポケベルの歴史,https://www.kogures.com/hitoshi/history/keitai-pocket-bell/index.html
1995,機能,PHS,PHSへの急速なユーザー移行,,PHSは、携帯電話に比べて料金が安いこと、ポケベルに比べて双方向の通話やメールができることから、急速にポケベル利用者がPHSに移動するようになった。,ポケベルの歴史,https://www.kogures.com/hitoshi/history/keitai-pocket-bell/index.html
1985,政策,,通信自由化と無線呼出局改称,通信自由化,音響のみならず文字その他の情報も送出できるものとなった。信号報知局は無線呼出局と改称された。,無線呼び出し,https://ja.wikipedia.org/wiki/%E7%84%A1%E7%B7%9A%E5%91%BC%E3%81%B3%E5%87%BA%E3%81%97
1968,人,,ビジネス層・医療関係の利用,,利用者は外出の多い営業部員、経営者、医療関係者に限られていた,ポケベルの歴史,https://www.kogures.com/hitoshi/history/keitai-pocket-bell/index.html
1986,人,,女子高生層への普及,,これに飛びついたのが女子高生である,無線呼び出し,https://ja.wikipedia.org/wiki/%E7%84%A1%E7%B7%9A%E5%91%BC%E3%81%B3%E5%87%BA%E3%81%97
1992,人,,数字語録合わせブーム到来,,数字の語呂合わせでメッセージを送る一種の言葉遊びが1992年頃から流行し始め,無線呼び出し,https://ja.wikipedia.org/wiki/%E7%84%A1%E7%B7%9A%E5%91%BC%E3%81%B3%E5%87%BA%E3%81%97
1995,人,,「ピッチ」愛用とPHS移行,,女子高生はPHSを『ピッチ』と呼び愛用するようになった。,無線呼び出し,https://ja.wikipedia.org/wiki/%E7%84%A1%E7%B7%9A%E5%91%BC%E3%81%B3%E5%87%BA%E3%81%97
1986,文化,,語呂合わせによる複雑な会話,,彼女らは、数字しか利用できない環境でも、『0840＝おはよう』のような語呂合わせや、仲間内での略語を作り出して、かなり複雑な会話を行っていた。,ポケベルの歴史,https://www.kogures.com/hitoshi/history/keitai-pocket-bell/index.html
1986,文化,,電話とポケベルの相互連携,,ポケベルにデータを送ることにより、送信者の電話番号や用件分類を伝えることができる。すなわち、不特定多数の電話とポケベルの間のネットワークが出現したのである。,ポケベルの歴史,https://www.kogures.com/hitoshi/history/keitai-pocket-bell/index.html
1986,文化,,「ベル友」ブームの出現,携帯電話での「メル友」に相当する、「ベル友」ブームが出現した,,ポケベルの歴史,https://www.kogures.com/hitoshi/history/keitai-pocket-bell/index.html
1991,文化,,「ポケベル打ち」高速入力文化,,カナのフリーメッセージ入力には「ポケベル打ち」というコード入力が必要で、一種の特技として電話機のテンキーで高速にこれができる人はユーザーから崇められ、テレビ等のメディアで驚きを持って紹介される事もあった。,無線呼び出し,https://ja.wikipedia.org/wiki/%E7%84%A1%E7%B7%9A%E5%91%BC%E3%81%B3%E5%87%BA%E3%81%97
1995,文化,,女子高生「三種の神器」の一角,,この頃ポケベル・ルーズソックス・プリクラ手帳は女子高生の三種の神器と呼ばれる事もあり、文字通りマストアイテムとしての地位を確固たるものとしていた。,無線呼び出し,https://ja.wikipedia.org/wiki/%E7%84%A1%E7%B7%9A%E5%91%BC%E3%81%B3%E5%87%BA%E3%81%97
1995,文化,,地方や親世代での警戒と不所有,,地方に目を向けるとポケベルは、自分自身が使った事が無いので得体が知れない、自分もポケベルはおろか携帯電話も持っていないのに子供にはまだ早い、非行に走るかもしれない等の理由から親世代からの評判は総じて良くなく、親から許しが出ないので持ちたくても持てず、あるいは周りで所有者が少なかったため実際にブームを感じる事無く不所有に終わる者も多かった。,無線呼び出し,https://ja.wikipedia.org/wiki/%E7%84%A1%E7%B7%9A%E5%91%BC%E3%81%B3%E5%87%BA%E3%81%97
1993,文化,ドラマ・作品,ドラマ『ポケベルが鳴らなくて』,テレビドラマ「ポケベルが鳴らなくて」や同名の主題歌がヒット,,無線呼び出し,https://ja.wikipedia.org/wiki/%E7%84%A1%E7%B7%9A%E5%91%BC%E3%81%B3%E5%87%BA%E3%81%97
1996,文化,ドラマ・作品,ドラマ『ピュア』でポケベル使用,テレビドラマ「ピュア」,,無線呼び出し,https://ja.wikipedia.org/wiki/%E7%84%A1%E7%B7%9A%E5%91%BC%E3%81%B3%E5%87%BA%E3%81%97
1997,文化,ドラマ・作品,ドラマ『当番弁護士 第3作』,当番弁護士 第3作（1997年）「金融業者殺しの無実を立証できるポケベル援助交際の女子高生を探せ」,,無線呼び出し,https://ja.wikipedia.org/wiki/%E7%84%A1%E7%B7%9A%E5%91%BC%E3%81%B3%E5%87%BA%E3%81%97
1997,文化,ドラマ・作品,ドラマ『職員室 第8作』,職員室 第8作（1997年）「裏切ったベル友」,,無線呼び出し,https://ja.wikipedia.org/wiki/%E7%84%A1%E7%B7%9A%E5%91%BC%E3%81%B3%E5%87%BA%E3%81%97
1998,文化,ドラマ・作品,『中学生日記』「ポケットベル」,中学生日記「ポケットベル」,,無線呼び出し,https://ja.wikipedia.org/wiki/%E7%84%A1%E7%B7%9A%E5%91%BC%E3%81%B3%E5%87%BA%E3%81%97
1990,文化,ドラマ・作品,『刑事コロンボ』にポケベル登場,刑事コロンボ「だまされたコロンボ」,,無線呼び出し,https://ja.wikipedia.org/wiki/%E7%84%A1%E7%B7%9A%E5%91%BC%E3%81%B3%E5%87%BA%E3%81%97
1991,文化,ドラマ・作品,『ドラえもん』「伝言花火」,ドラえもん「伝言花火」,,無線呼び出し,https://ja.wikipedia.org/wiki/%E7%84%A1%E7%B7%9A%E5%91%BC%E3%81%B3%E5%87%BA%E3%81%97
1996,文化,ドラマ・作品,NHK『ベル友〜12文字の青春〜』,NHKスペシャル「ベル友〜12文字の青春〜」,,無線呼び出し,https://ja.wikipedia.org/wiki/%E7%84%A1%E7%B7%9A%E5%91%BC%E3%81%B3%E5%87%BA%E3%81%97
1994,文化,音楽,楽曲『ポケベルNightは5643#』,楽曲『ポケベルNightは5643#』,,無線呼び出し,https://ja.wikipedia.org/wiki/%E7%84%A1%E7%B7%9A%E5%91%BC%E3%81%B3%E5%87%BA%E3%81%97
